instant,dteday,season,year,month,hour,holiday,weekday,workingday,weather,temp,atemp,humidity,windspeed,casual,registered,count,season_name
1,2011-01-01,1,2011,1,0,0,6,0,1,0.24,0.2879,0.81,0.0,3,13,16,Semi
2,2011-01-01,1,2011,1,0,0,6,0,1,0.22,0.2727,0.8,0.0,8,32,40,Semi
3,2011-01-01,1,2011,1,0,0,6,0,1,0.22,0.2727,0.8,0.0,5,27,32,Semi
4,2011-01-01,1,2011,1,0,0,6,0,1,0.24,0.2879,0.75,0.0,3,10,13,Semi
5,2011-01-01,1,2011,1,0,0,6,0,1,0.24,0.2879,0.75,0.0,0,1,1,Semi
6,2011-01-01,1,2011,1,0,0,6,0,2,0.24,0.2576,0.75,0.0896,0,1,1,Semi
7,2011-01-01,1,2011,1,0,0,6,0,1,0.22,0.2727,0.8,0.0,2,0,2,Semi
8,2011-01-01,1,2011,1,0,0,6,0,1,0.2,0.2576,0.86,0.0,1,2,3,Semi
9,2011-01-01,1,2011,1,0,0,6,0,1,0.24,0.2879,0.75,0.0,1,7,8,Semi
10,2011-01-01,1,2011,1,0,0,6,0,1,0.32,0.3485,0.76,0.0,8,6,14,Semi
11,2011-01-01,1,2011,1,0,0,6,0,1,0.38,0.3939,0.76,0.2537,12,24,36,Semi
12,2011-01-01,1,2011,1,0,0,6,0,1,0.36,0.3333,0.81,0.2836,26,30,56,Semi
13,2011-01-01,1,2011,1,0,0,6,0,1,0.42,0.4242,0.77,0.2836,29,55,84,Semi
14,2011-01-01,1,2011,1,0,0,6,0,2,0.46,0.4545,0.72,0.2985,47,47,94,Semi
15,2011-01-01,1,2011,1,0,0,6,0,2,0.46,0.4545,0.72,0.2836,35,71,106,Semi
16,2011-01-01,1,2011,1,0,0,6,0,2,0.44,0.4394,0.77,0.2985,40,70,110,Semi
17,2011-01-01,1,2011,1,0,0,6,0,2,0.42,0.4242,0.82,0.2985,41,52,93,Semi
18,2011-01-01,1,2011,1,0,0,6,0,2,0.44,0.4394,0.82,0.2836,15,52,67,Semi
